"","steps","date","interval","day"
"1",NA,2012-10-01,0,"Mon"
"2",NA,2012-10-01,5,"Mon"
"3",NA,2012-10-01,10,"Mon"
"4",NA,2012-10-01,15,"Mon"
"5",NA,2012-10-01,20,"Mon"
"6",NA,2012-10-01,25,"Mon"
"7",NA,2012-10-01,30,"Mon"
"8",NA,2012-10-01,35,"Mon"
"9",NA,2012-10-01,40,"Mon"
"10",NA,2012-10-01,45,"Mon"
"11",NA,2012-10-01,50,"Mon"
"12",NA,2012-10-01,55,"Mon"
"13",NA,2012-10-01,100,"Mon"
"14",NA,2012-10-01,105,"Mon"
"15",NA,2012-10-01,110,"Mon"
"16",NA,2012-10-01,115,"Mon"
"17",NA,2012-10-01,120,"Mon"
"18",NA,2012-10-01,125,"Mon"
"19",NA,2012-10-01,130,"Mon"
"20",NA,2012-10-01,135,"Mon"
"21",NA,2012-10-01,140,"Mon"
"22",NA,2012-10-01,145,"Mon"
"23",NA,2012-10-01,150,"Mon"
"24",NA,2012-10-01,155,"Mon"
"25",NA,2012-10-01,200,"Mon"
"26",NA,2012-10-01,205,"Mon"
"27",NA,2012-10-01,210,"Mon"
"28",NA,2012-10-01,215,"Mon"
"29",NA,2012-10-01,220,"Mon"
"30",NA,2012-10-01,225,"Mon"
"31",NA,2012-10-01,230,"Mon"
"32",NA,2012-10-01,235,"Mon"
"33",NA,2012-10-01,240,"Mon"
"34",NA,2012-10-01,245,"Mon"
"35",NA,2012-10-01,250,"Mon"
"36",NA,2012-10-01,255,"Mon"
"37",NA,2012-10-01,300,"Mon"
"38",NA,2012-10-01,305,"Mon"
"39",NA,2012-10-01,310,"Mon"
"40",NA,2012-10-01,315,"Mon"
"41",NA,2012-10-01,320,"Mon"
"42",NA,2012-10-01,325,"Mon"
"43",NA,2012-10-01,330,"Mon"
"44",NA,2012-10-01,335,"Mon"
"45",NA,2012-10-01,340,"Mon"
"46",NA,2012-10-01,345,"Mon"
"47",NA,2012-10-01,350,"Mon"
"48",NA,2012-10-01,355,"Mon"
"49",NA,2012-10-01,400,"Mon"
"50",NA,2012-10-01,405,"Mon"
"51",NA,2012-10-01,410,"Mon"
"52",NA,2012-10-01,415,"Mon"
"53",NA,2012-10-01,420,"Mon"
"54",NA,2012-10-01,425,"Mon"
"55",NA,2012-10-01,430,"Mon"
"56",NA,2012-10-01,435,"Mon"
"57",NA,2012-10-01,440,"Mon"
"58",NA,2012-10-01,445,"Mon"
"59",NA,2012-10-01,450,"Mon"
"60",NA,2012-10-01,455,"Mon"
"61",NA,2012-10-01,500,"Mon"
"62",NA,2012-10-01,505,"Mon"
"63",NA,2012-10-01,510,"Mon"
"64",NA,2012-10-01,515,"Mon"
"65",NA,2012-10-01,520,"Mon"
"66",NA,2012-10-01,525,"Mon"
"67",NA,2012-10-01,530,"Mon"
"68",NA,2012-10-01,535,"Mon"
"69",NA,2012-10-01,540,"Mon"
"70",NA,2012-10-01,545,"Mon"
"71",NA,2012-10-01,550,"Mon"
"72",NA,2012-10-01,555,"Mon"
"73",NA,2012-10-01,600,"Mon"
"74",NA,2012-10-01,605,"Mon"
"75",NA,2012-10-01,610,"Mon"
"76",NA,2012-10-01,615,"Mon"
"77",NA,2012-10-01,620,"Mon"
"78",NA,2012-10-01,625,"Mon"
"79",NA,2012-10-01,630,"Mon"
"80",NA,2012-10-01,635,"Mon"
"81",NA,2012-10-01,640,"Mon"
"82",NA,2012-10-01,645,"Mon"
"83",NA,2012-10-01,650,"Mon"
"84",NA,2012-10-01,655,"Mon"
"85",NA,2012-10-01,700,"Mon"
"86",NA,2012-10-01,705,"Mon"
"87",NA,2012-10-01,710,"Mon"
"88",NA,2012-10-01,715,"Mon"
"89",NA,2012-10-01,720,"Mon"
"90",NA,2012-10-01,725,"Mon"
"91",NA,2012-10-01,730,"Mon"
"92",NA,2012-10-01,735,"Mon"
"93",NA,2012-10-01,740,"Mon"
"94",NA,2012-10-01,745,"Mon"
"95",NA,2012-10-01,750,"Mon"
"96",NA,2012-10-01,755,"Mon"
"97",NA,2012-10-01,800,"Mon"
"98",NA,2012-10-01,805,"Mon"
"99",NA,2012-10-01,810,"Mon"
"100",NA,2012-10-01,815,"Mon"
"101",NA,2012-10-01,820,"Mon"
"102",NA,2012-10-01,825,"Mon"
"103",NA,2012-10-01,830,"Mon"
"104",NA,2012-10-01,835,"Mon"
"105",NA,2012-10-01,840,"Mon"
"106",NA,2012-10-01,845,"Mon"
"107",NA,2012-10-01,850,"Mon"
"108",NA,2012-10-01,855,"Mon"
"109",NA,2012-10-01,900,"Mon"
"110",NA,2012-10-01,905,"Mon"
"111",NA,2012-10-01,910,"Mon"
"112",NA,2012-10-01,915,"Mon"
"113",NA,2012-10-01,920,"Mon"
"114",NA,2012-10-01,925,"Mon"
"115",NA,2012-10-01,930,"Mon"
"116",NA,2012-10-01,935,"Mon"
"117",NA,2012-10-01,940,"Mon"
"118",NA,2012-10-01,945,"Mon"
"119",NA,2012-10-01,950,"Mon"
"120",NA,2012-10-01,955,"Mon"
"121",NA,2012-10-01,1000,"Mon"
"122",NA,2012-10-01,1005,"Mon"
"123",NA,2012-10-01,1010,"Mon"
"124",NA,2012-10-01,1015,"Mon"
"125",NA,2012-10-01,1020,"Mon"
"126",NA,2012-10-01,1025,"Mon"
"127",NA,2012-10-01,1030,"Mon"
"128",NA,2012-10-01,1035,"Mon"
"129",NA,2012-10-01,1040,"Mon"
"130",NA,2012-10-01,1045,"Mon"
"131",NA,2012-10-01,1050,"Mon"
"132",NA,2012-10-01,1055,"Mon"
"133",NA,2012-10-01,1100,"Mon"
"134",NA,2012-10-01,1105,"Mon"
"135",NA,2012-10-01,1110,"Mon"
"136",NA,2012-10-01,1115,"Mon"
"137",NA,2012-10-01,1120,"Mon"
"138",NA,2012-10-01,1125,"Mon"
"139",NA,2012-10-01,1130,"Mon"
"140",NA,2012-10-01,1135,"Mon"
"141",NA,2012-10-01,1140,"Mon"
"142",NA,2012-10-01,1145,"Mon"
"143",NA,2012-10-01,1150,"Mon"
"144",NA,2012-10-01,1155,"Mon"
"145",NA,2012-10-01,1200,"Mon"
"146",NA,2012-10-01,1205,"Mon"
"147",NA,2012-10-01,1210,"Mon"
"148",NA,2012-10-01,1215,"Mon"
"149",NA,2012-10-01,1220,"Mon"
"150",NA,2012-10-01,1225,"Mon"
"151",NA,2012-10-01,1230,"Mon"
"152",NA,2012-10-01,1235,"Mon"
"153",NA,2012-10-01,1240,"Mon"
"154",NA,2012-10-01,1245,"Mon"
"155",NA,2012-10-01,1250,"Mon"
"156",NA,2012-10-01,1255,"Mon"
"157",NA,2012-10-01,1300,"Mon"
"158",NA,2012-10-01,1305,"Mon"
"159",NA,2012-10-01,1310,"Mon"
"160",NA,2012-10-01,1315,"Mon"
"161",NA,2012-10-01,1320,"Mon"
"162",NA,2012-10-01,1325,"Mon"
"163",NA,2012-10-01,1330,"Mon"
"164",NA,2012-10-01,1335,"Mon"
"165",NA,2012-10-01,1340,"Mon"
"166",NA,2012-10-01,1345,"Mon"
"167",NA,2012-10-01,1350,"Mon"
"168",NA,2012-10-01,1355,"Mon"
"169",NA,2012-10-01,1400,"Mon"
"170",NA,2012-10-01,1405,"Mon"
"171",NA,2012-10-01,1410,"Mon"
"172",NA,2012-10-01,1415,"Mon"
"173",NA,2012-10-01,1420,"Mon"
"174",NA,2012-10-01,1425,"Mon"
"175",NA,2012-10-01,1430,"Mon"
"176",NA,2012-10-01,1435,"Mon"
"177",NA,2012-10-01,1440,"Mon"
"178",NA,2012-10-01,1445,"Mon"
"179",NA,2012-10-01,1450,"Mon"
"180",NA,2012-10-01,1455,"Mon"
"181",NA,2012-10-01,1500,"Mon"
"182",NA,2012-10-01,1505,"Mon"
"183",NA,2012-10-01,1510,"Mon"
"184",NA,2012-10-01,1515,"Mon"
"185",NA,2012-10-01,1520,"Mon"
"186",NA,2012-10-01,1525,"Mon"
"187",NA,2012-10-01,1530,"Mon"
"188",NA,2012-10-01,1535,"Mon"
"189",NA,2012-10-01,1540,"Mon"
"190",NA,2012-10-01,1545,"Mon"
"191",NA,2012-10-01,1550,"Mon"
"192",NA,2012-10-01,1555,"Mon"
"193",NA,2012-10-01,1600,"Mon"
"194",NA,2012-10-01,1605,"Mon"
"195",NA,2012-10-01,1610,"Mon"
"196",NA,2012-10-01,1615,"Mon"
"197",NA,2012-10-01,1620,"Mon"
"198",NA,2012-10-01,1625,"Mon"
"199",NA,2012-10-01,1630,"Mon"
"200",NA,2012-10-01,1635,"Mon"
"201",NA,2012-10-01,1640,"Mon"
"202",NA,2012-10-01,1645,"Mon"
"203",NA,2012-10-01,1650,"Mon"
"204",NA,2012-10-01,1655,"Mon"
"205",NA,2012-10-01,1700,"Mon"
"206",NA,2012-10-01,1705,"Mon"
"207",NA,2012-10-01,1710,"Mon"
"208",NA,2012-10-01,1715,"Mon"
"209",NA,2012-10-01,1720,"Mon"
"210",NA,2012-10-01,1725,"Mon"
"211",NA,2012-10-01,1730,"Mon"
"212",NA,2012-10-01,1735,"Mon"
"213",NA,2012-10-01,1740,"Mon"
"214",NA,2012-10-01,1745,"Mon"
"215",NA,2012-10-01,1750,"Mon"
"216",NA,2012-10-01,1755,"Mon"
"217",NA,2012-10-01,1800,"Mon"
"218",NA,2012-10-01,1805,"Mon"
"219",NA,2012-10-01,1810,"Mon"
"220",NA,2012-10-01,1815,"Mon"
"221",NA,2012-10-01,1820,"Mon"
"222",NA,2012-10-01,1825,"Mon"
"223",NA,2012-10-01,1830,"Mon"
"224",NA,2012-10-01,1835,"Mon"
"225",NA,2012-10-01,1840,"Mon"
"226",NA,2012-10-01,1845,"Mon"
"227",NA,2012-10-01,1850,"Mon"
"228",NA,2012-10-01,1855,"Mon"
"229",NA,2012-10-01,1900,"Mon"
"230",NA,2012-10-01,1905,"Mon"
"231",NA,2012-10-01,1910,"Mon"
"232",NA,2012-10-01,1915,"Mon"
"233",NA,2012-10-01,1920,"Mon"
"234",NA,2012-10-01,1925,"Mon"
"235",NA,2012-10-01,1930,"Mon"
"236",NA,2012-10-01,1935,"Mon"
"237",NA,2012-10-01,1940,"Mon"
"238",NA,2012-10-01,1945,"Mon"
"239",NA,2012-10-01,1950,"Mon"
"240",NA,2012-10-01,1955,"Mon"
"241",NA,2012-10-01,2000,"Mon"
"242",NA,2012-10-01,2005,"Mon"
"243",NA,2012-10-01,2010,"Mon"
"244",NA,2012-10-01,2015,"Mon"
"245",NA,2012-10-01,2020,"Mon"
"246",NA,2012-10-01,2025,"Mon"
"247",NA,2012-10-01,2030,"Mon"
"248",NA,2012-10-01,2035,"Mon"
"249",NA,2012-10-01,2040,"Mon"
"250",NA,2012-10-01,2045,"Mon"
"251",NA,2012-10-01,2050,"Mon"
"252",NA,2012-10-01,2055,"Mon"
"253",NA,2012-10-01,2100,"Mon"
"254",NA,2012-10-01,2105,"Mon"
"255",NA,2012-10-01,2110,"Mon"
"256",NA,2012-10-01,2115,"Mon"
"257",NA,2012-10-01,2120,"Mon"
"258",NA,2012-10-01,2125,"Mon"
"259",NA,2012-10-01,2130,"Mon"
"260",NA,2012-10-01,2135,"Mon"
"261",NA,2012-10-01,2140,"Mon"
"262",NA,2012-10-01,2145,"Mon"
"263",NA,2012-10-01,2150,"Mon"
"264",NA,2012-10-01,2155,"Mon"
"265",NA,2012-10-01,2200,"Mon"
"266",NA,2012-10-01,2205,"Mon"
"267",NA,2012-10-01,2210,"Mon"
"268",NA,2012-10-01,2215,"Mon"
"269",NA,2012-10-01,2220,"Mon"
"270",NA,2012-10-01,2225,"Mon"
"271",NA,2012-10-01,2230,"Mon"
"272",NA,2012-10-01,2235,"Mon"
"273",NA,2012-10-01,2240,"Mon"
"274",NA,2012-10-01,2245,"Mon"
"275",NA,2012-10-01,2250,"Mon"
"276",NA,2012-10-01,2255,"Mon"
"277",NA,2012-10-01,2300,"Mon"
"278",NA,2012-10-01,2305,"Mon"
"279",NA,2012-10-01,2310,"Mon"
"280",NA,2012-10-01,2315,"Mon"
"281",NA,2012-10-01,2320,"Mon"
"282",NA,2012-10-01,2325,"Mon"
"283",NA,2012-10-01,2330,"Mon"
"284",NA,2012-10-01,2335,"Mon"
"285",NA,2012-10-01,2340,"Mon"
"286",NA,2012-10-01,2345,"Mon"
"287",NA,2012-10-01,2350,"Mon"
"288",NA,2012-10-01,2355,"Mon"
"289",0,2012-10-02,0,"Tue"
"290",0,2012-10-02,5,"Tue"
"291",0,2012-10-02,10,"Tue"
"292",0,2012-10-02,15,"Tue"
"293",0,2012-10-02,20,"Tue"
"294",0,2012-10-02,25,"Tue"
"295",0,2012-10-02,30,"Tue"
"296",0,2012-10-02,35,"Tue"
"297",0,2012-10-02,40,"Tue"
"298",0,2012-10-02,45,"Tue"
"299",0,2012-10-02,50,"Tue"
"300",0,2012-10-02,55,"Tue"
"301",0,2012-10-02,100,"Tue"
"302",0,2012-10-02,105,"Tue"
"303",0,2012-10-02,110,"Tue"
"304",0,2012-10-02,115,"Tue"
"305",0,2012-10-02,120,"Tue"
"306",0,2012-10-02,125,"Tue"
"307",0,2012-10-02,130,"Tue"
"308",0,2012-10-02,135,"Tue"
"309",0,2012-10-02,140,"Tue"
"310",0,2012-10-02,145,"Tue"
"311",0,2012-10-02,150,"Tue"
"312",0,2012-10-02,155,"Tue"
"313",0,2012-10-02,200,"Tue"
"314",0,2012-10-02,205,"Tue"
"315",0,2012-10-02,210,"Tue"
"316",0,2012-10-02,215,"Tue"
"317",0,2012-10-02,220,"Tue"
"318",0,2012-10-02,225,"Tue"
"319",0,2012-10-02,230,"Tue"
"320",0,2012-10-02,235,"Tue"
"321",0,2012-10-02,240,"Tue"
"322",0,2012-10-02,245,"Tue"
"323",0,2012-10-02,250,"Tue"
"324",0,2012-10-02,255,"Tue"
"325",0,2012-10-02,300,"Tue"
"326",0,2012-10-02,305,"Tue"
"327",0,2012-10-02,310,"Tue"
"328",0,2012-10-02,315,"Tue"
"329",0,2012-10-02,320,"Tue"
"330",0,2012-10-02,325,"Tue"
"331",0,2012-10-02,330,"Tue"
"332",0,2012-10-02,335,"Tue"
"333",0,2012-10-02,340,"Tue"
"334",0,2012-10-02,345,"Tue"
"335",0,2012-10-02,350,"Tue"
"336",0,2012-10-02,355,"Tue"
"337",0,2012-10-02,400,"Tue"
"338",0,2012-10-02,405,"Tue"
"339",0,2012-10-02,410,"Tue"
"340",0,2012-10-02,415,"Tue"
"341",0,2012-10-02,420,"Tue"
"342",0,2012-10-02,425,"Tue"
"343",0,2012-10-02,430,"Tue"
"344",0,2012-10-02,435,"Tue"
"345",0,2012-10-02,440,"Tue"
"346",0,2012-10-02,445,"Tue"
"347",0,2012-10-02,450,"Tue"
"348",0,2012-10-02,455,"Tue"
"349",0,2012-10-02,500,"Tue"
"350",0,2012-10-02,505,"Tue"
"351",0,2012-10-02,510,"Tue"
"352",0,2012-10-02,515,"Tue"
"353",0,2012-10-02,520,"Tue"
"354",0,2012-10-02,525,"Tue"
"355",0,2012-10-02,530,"Tue"
"356",0,2012-10-02,535,"Tue"
"357",0,2012-10-02,540,"Tue"
"358",0,2012-10-02,545,"Tue"
"359",0,2012-10-02,550,"Tue"
"360",0,2012-10-02,555,"Tue"
"361",0,2012-10-02,600,"Tue"
"362",0,2012-10-02,605,"Tue"
"363",0,2012-10-02,610,"Tue"
"364",0,2012-10-02,615,"Tue"
"365",0,2012-10-02,620,"Tue"
"366",0,2012-10-02,625,"Tue"
"367",0,2012-10-02,630,"Tue"
"368",0,2012-10-02,635,"Tue"
"369",0,2012-10-02,640,"Tue"
